Fixed_effect,Coefficient,Std_error,Lower_95_CI,Upper_95_CI,p_value(not meaningful since it is tested vs 0),Signif(not meaningful since it is tested vs 0)
chiam_1800,1.58024028891084,0.2101397135404664,1.2192719659953761,2.0200598995880816,5.479689502555659e-14,***
cigl_1730,2.2440054226093276,0.13702832522104896,2.020764960456098,2.548416081173578,2.827994412851607e-60,***
cigl_1740,2.214113278839375,0.10798513574645642,2.0458028880918624,2.4622678579060264,1.9883073423197577e-93,***
cigl_1750,2.184221135069423,0.08525946128559028,2.063762485350773,2.3924139510988534,9.48729930936861e-145,***
cigl_1760,2.1543289912994714,0.0748459785323895,2.051799552825945,2.3470343392376987,3.451617604908545e-182,***
cigl_1770,2.124436847529519,0.08160284206733326,2.0011877003467213,2.328719004862892,2.0495577944735944e-149,***
cigl_1780,2.094544703759567,0.10217869509684861,1.930649057524248,2.3468326363454017,2.204875890428582e-93,***
cigl_1790,2.0646525599896153,0.13017797892561075,1.8494022563214454,2.3727867254564097,1.1945746286655211e-56,***
cigl_1800,2.0347604162196626,0.161791486889305,1.7568727126199484,2.4018237451161117,2.8457872109772027e-36,***
cor_1730,2.254159926213797,0.06218351711207821,2.1385492019063026,2.3824819313493855,9.894027926250225e-288,***
cor_1740,2.25452219312083,0.04814505034571615,2.1678413316606835,2.354343038812418,0,***
cor_1750,2.254884460027864,0.03746449294832614,2.1856855266934416,2.3364771353003317,0,***
cor_1760,2.2552467269348973,0.033521886547135664,2.191791621867323,2.323638035162827,0,***
cor_1770,2.255608993841931,0.03844908074587883,2.1835083877796375,2.334103367294214,0,***
cor_1780,2.255971260748965,0.0496732627219856,2.1628921813753803,2.3542736118894627,0,***
cor_1790,2.256333527655998,0.06396108610250391,2.132791790428243,2.3811396070375914,1.3390199582346858e-272,***
cor_1800,2.256695794563032,0.07968120435897445,2.1013359915134155,2.4111782531438384,1.8757622508453444e-176,***
crudel_1730,2.2135741212108986,0.08469738367839379,2.049999749080463,2.383065187069773,1.455943544489197e-150,***
crudel_1740,2.2321894716598885,0.06555322631578508,2.107160504923137,2.3660585012507496,3.848922611502987e-254,***
crudel_1750,2.2508048221088783,0.05180019960692705,2.1494528315924915,2.3506053478397977,0,***
crudel_1760,2.2694201725578678,0.04828822215294206,2.176431826009053,2.358364285388823,0,***
crudel_1770,2.2880355230068576,0.05694471563307464,2.177858403638829,2.3934982743922437,0,***
crudel_1780,2.3066508734558475,0.0735941940565765,2.167625986098633,2.4412371409269,1.2180701152315153e-215,***
crudel_1790,2.325266223904837,0.09408489081466695,2.144032467468063,2.496608644367445,7.459996258734023e-135,***
crudel_1800,2.343881574353827,0.11640568921167047,2.114380941206187,2.5612957062020243,3.6097892024886305e-90,***
debell_1730,2.7444304188345248,0.17704528070470774,2.4099383204185316,3.1281747315793864,3.399912194523064e-54,***
debell_1740,2.7081822845133052,0.14514226072553205,2.442679213858403,3.026030417074469,1.0708375803545866e-77,***
debell_1750,2.6719341501920866,0.12216955613807903,2.468985274360841,2.941815061497887,4.939000118713023e-106,***
debell_1760,2.635686015870868,0.11367675758561867,2.4472024046448686,2.887411600398187,6.333763945243521e-119,***
debell_1770,2.5994378815496493,0.12270815031256536,2.3930174716362163,2.8698704472470267,1.3441276947800363e-99,***
debell_1780,2.5631897472284297,0.14604812652283525,2.314323064181018,2.882742166089132,5.915731101888558e-69,***
debell_1790,2.526941612907211,0.17815919998214072,2.215317372404637,2.9154871551714248,1.1572699625950724e-45,***
debell_1800,2.4906934785859924,0.21514931091098127,2.105806054615945,2.9517961943369713,5.416328640603863e-31,***
degn_1730,2.4798655949417667,0.1525702128347222,2.1526881453332556,2.7595534968823783,2.094930569750164e-59,***
degn_1740,2.478450011214956,0.11521215078753647,2.241236341019109,2.6942730542644777,1.200683910715495e-102,***
degn_1750,2.477034427488146,0.08801048256717554,2.311101793814601,2.647770064345648,2.7772786270671064e-174,***
degn_1760,2.4756188437613353,0.08181494913696176,2.3234997550942444,2.639811385635242,4.0015575456498694e-201,***
degn_1770,2.474203260034525,0.10058509964611867,2.2913614664086963,2.6914244934085167,1.3234257067655776e-133,***
degn_1780,2.4727876763077146,0.1342269501527732,2.2302228205162917,2.761853513750953,8.680412407084693e-76,***
degn_1790,2.4713720925809044,0.17433365002709594,2.1510944468423636,2.838508022723125,1.2880002144401995e-45,***
degn_1800,2.469956508854094,0.2173554793976548,2.0649852430621,2.922645171252872,6.342117336637484e-30,***
digl_1730,3.24122135388593,0.1796669293761285,2.876875152413106,3.587312135706406,9.425918824794212e-73,***
digl_1740,3.113170604996064,0.13631161741686423,2.8488052319664847,3.376661261517259,1.8957623283469499e-115,***
digl_1750,2.985119856106195,0.10305579385981632,2.791144017863616,3.197585348049861,1.7618491764769178e-184,***
digl_1760,2.8570691072163292,0.09164673658823264,2.688501300774967,3.04845921501238,2.3395892149899584e-213,***
digl_1770,2.72901835832646,0.1091638222140897,2.5150390239359943,2.945254729377085,6.222608064137457e-138,***
digl_1780,2.6009676094365943,0.14551063159586106,2.318032854318845,2.8866216997103646,1.8547192130622227e-71,***
digl_1790,2.472916860546725,0.19018132350045303,2.108096693510292,2.850130116667523,1.1772450410684274e-38,***
digl_1800,2.3448661116568594,0.23854457818877822,1.8922759304055805,2.814553491563442,8.371312775447982e-23,***
disper_1730,2.472851064844665,0.17618894985475544,2.147007033820052,2.8257254110022476,9.489849334565747e-45,***
disper_1740,2.4589141667074847,0.13676584379021692,2.2068879124518306,2.7284827925520316,2.8453908371226794e-72,***
disper_1750,2.444977268570304,0.10732472019565988,2.2521770680392956,2.6674713933390857,7.056458789750441e-115,***
disper_1760,2.4310403704331236,0.09738400619815103,2.2592647815569493,2.635389596228989,1.5258320185903751e-137,***
disper_1770,2.4171034722959432,0.11224991457468697,2.2204476993701623,2.654553867005262,7.604093121234289e-103,***
disper_1780,2.403166574158763,0.1444568847149408,2.145490707163111,2.6978008503198145,3.831226619577615e-62,***
disper_1790,2.3892296760215825,0.18516719288730668,2.052933458502715,2.761476028521847,4.323824408418408e-38,***
disper_1800,2.375292777884402,0.22990723490721765,1.9332227920774956,2.8325760540336455,5.074628994347195e-25,***
ditel_1730,2.8763366764474476,0.22577445059535003,2.4463894504202823,3.340087565124415,3.5499537827433185e-37,***
ditel_1740,2.7755824781099463,0.15749129270148973,2.45256802120518,3.09043815564068,1.619930420113358e-69,***
ditel_1750,2.6748282797724485,0.11873119973174802,2.4375973669014304,2.9108898783869566,2.1853523622491647e-112,***
ditel_1760,2.5740740814349508,0.13731305138439648,2.307538100784657,2.8313993501366728,2.086078911863343e-78,***
ditel_1770,2.473319883097453,0.19767861834059683,2.0766507079938417,2.8463969150207036,6.433068386184734e-36,***
ditel_1780,2.3725656847599517,0.2734282062907932,1.8222136156678015,2.9240678375458913,4.0596467404410244e-18,***
ditel_1790,2.271811486422454,0.35484266600784287,1.5416155117829224,2.9878618525093,1.5304709187893137e-10,***
ditel_1800,2.171057288084956,0.43877994145300936,1.276960800639901,3.052971965474435,7.500261135347722e-7,***
donar_1730,2.0595662634489775,0.13838712856635038,1.8131267764473564,2.3921709099050537,4.2727933265138626e-50,***
donar_1740,2.1097153866085767,0.10845271132821001,1.9330265484103257,2.3763041916271597,2.756219828754425e-84,***
donar_1750,2.159864509768174,0.08623109757347064,2.042486141889525,2.3814200798292324,1.863679815899832e-138,***
donar_1760,2.2100136329277733,0.0785648275992234,2.118067675655307,2.422084462734488,4.232675200728146e-174,***
donar_1770,2.2601627560873725,0.08928538758022428,2.1506439138783606,2.4878632295155634,2.2448509935774125e-141,***
donar_1780,2.31031187924697,0.11328789470941253,2.1494845668316245,2.590964706799797,1.9183874925087266e-92,***
donar_1790,2.360461002406569,0.14408064440692903,2.1358029121660516,2.703789489382637,2.533053837634166e-60,***
donar_1800,2.4106101255661665,0.17817725851080382,2.116087851678842,2.8175705602483454,1.0504660837546895e-41,***
dì_1730,0.4950617702969282,8.090773132720805,-14.573834998742061,17.264355770528844,0.9512091376098999,
dì_1740,0.9712522465219564,5.550777901302114,-9.2124462008324,12.431045037137933,0.8610985863605665,
dì_1750,1.4474427227469704,3.042454212845959,-4.088741663503353,7.6193370515578875,0.6342536352497057,
dì_1760,1.9236331989719986,0.8926291885198171,0.24134335358357542,3.6560200248287678,0.031160317827098948,*
dì_1770,2.3998236751970268,2.3306464773500455,-2.0695415823713743,6.6073287588068,0.30315951971323307,
dì_1780,2.8760141514220408,4.812681792911721,-6.965166084707826,11.825869358520306,0.5501130337108953,
dì_1790,3.352204627647069,7.347568712201133,-11.808796818037825,16.904796047887434,0.6482223092434334,
dì_1800,3.828395103872097,9.89477098393203,-16.813789176470706,22.251008473459418,0.6988221446722627,
fat_1730,2.159901775708029,0.14131519185436278,1.8917685870127323,2.4367186081744188,9.732412857089357e-53,***
fat_1740,2.200248208514923,0.10629982955288245,1.994216707771974,2.4065994473288064,3.5723652133316355e-95,***
fat_1750,2.2405946413218176,0.07719762217070866,2.079970791174852,2.3820944238578514,3.263401383572634e-185,***
fat_1760,2.2809410741287115,0.06284457626839599,2.1421005464690808,2.390585752042962,1.9433164655445663e-288,***
fat_1770,2.3212875069356063,0.07259171754132906,2.157397027127667,2.441806331775387,2.2552108860293997e-224,***
fat_1780,2.3616339397425,0.09959830790002955,2.141688218279339,2.531701269112931,2.738327385711877e-124,***
fat_1790,2.401980372549395,0.13379176809206603,2.112227641086587,2.637416276117024,4.53642298849862e-72,***
fat_1800,2.4423268053562888,0.17091167389489928,2.0712168277191694,2.7465641872757502,2.5263098173072714e-46,***
fedel_1730,2.1957267323137244,0.12578645090192855,1.9588145279833526,2.452473183852304,3.0996980395235637e-68,***
